94
785	393	4
2075	167	94
656	2140	94
1240	2685	113
1108	1667	4
385	384	102
48	1134	94
193	851	53
1618	227	171
2312	2423	195
757	756	56
1179	1859	58
138	777	113
1763	641	157
1055	2150	153
1629	1291	4
646	652	56
646	652	53
460	1380	125
1506	1781	9
1097	715	4
1383	1381	4
1269	179	4
329	163	4
372	2017	196
657	2959	117
73	1975	171
2450	1995	172
702	701	94
1816	150	9
214	538	4
424	2624	58
573	639	9
405	486	94
1055	221	66
722	79	4
2339	852	53
1964	298	122
337	1703	53
298	475	94
290	1441	190
207	851	4
831	1189	4
222	1283	153
678	389	125
627	2424	98
759	758	4
1889	1888	195
1601	1940	58
384	385	4
681	28	81
2025	1797	4
541	30	126
1659	153	4
249	154	4
512	114	4
78	723	74
2560	1214	193
79	722	102
1441	290	190
384	421	4
221	1834	4
1758	1208	163
1158	1140	66
2328	1361	163
507	42	4
652	1130	53
2122	2251	171
935	666	4
2081	2198	53
1413	1001	4
1626	2273	94
1890	375	4
1097	1411	98
2363	201	122
302	2197	198
1404	1691	190
1120	11	94
1441	519	190
1766	907	94
811	700	4
1383	1150	4
475	298	94
1252	2476	125
166	48	159
823	1988	58
298	46	94
509	949	53
48	61	94
2572	597	94
1343	2477	58
1418	1496	58
1345	376	94
1369	1807	53
