11714
0	1	0
2	3	1
4	5	2
6	7	3
8	9	4
10	11	5
12	13	6
14	15	7
16	17	8
18	3	1
19	20	9
21	22	10
23	24	11
25	26	12
27	28	13
29	30	14
31	32	15
33	34	16
35	36	1
37	38	13
39	40	17
41	42	18
43	44	19
45	46	20
47	48	20
49	50	0
51	30	14
52	53	21
54	55	22
56	57	0
58	59	23
60	61	24
62	63	25
64	65	26
66	11	22
67	68	20
69	70	27
71	72	28
73	74	29
75	76	18
77	78	30
79	80	31
81	82	20
83	84	32
85	86	13
50	87	33
88	89	25
90	91	34
92	93	18
94	95	35
96	97	36
98	99	37
100	101	32
102	103	37
104	105	4
106	107	38
108	109	39
110	26	40
111	95	35
112	113	41
114	3	1
115	44	42
116	117	43
118	119	44
120	121	18
122	123	45
124	125	2
126	127	46
128	129	29
130	4	18
131	132	46
133	134	47
135	136	48
137	44	42
138	139	41
140	141	33
142	143	49
144	145	50
146	138	51
147	148	52
149	150	53
151	152	25
153	154	18
155	156	54
157	65	26
158	159	31
160	161	54
162	163	46
164	165	18
166	167	41
168	169	55
170	171	56
172	173	54
174	121	31
103	175	13
176	177	57
178	179	58
180	181	31
182	183	11
184	185	0
186	46	20
187	188	59
67	189	0
190	117	43
191	192	60
193	194	54
195	196	31
197	198	20
199	200	61
201	138	62
202	203	10
204	30	14
205	117	43
206	207	63
208	209	54
210	40	64
211	212	65
213	214	66
37	215	13
216	217	67
218	219	0
220	221	33
222	36	68
223	117	43
100	224	69
225	226	61
227	168	31
228	229	0
103	230	13
231	232	25
233	42	18
234	26	12
235	236	70
237	125	2
188	238	71
239	50	0
240	241	29
242	243	18
244	245	49
246	247	29
248	249	54
250	251	37
252	253	57
254	255	8
256	257	57
258	259	63
260	261	31
262	263	4
214	1	0
264	265	63
266	267	72
268	36	1
269	270	4
271	272	25
273	274	73
275	276	48
277	1	0
278	198	20
279	87	47
280	281	4
282	283	74
284	285	18
286	287	46
84	288	75
27	205	13
289	290	46
291	46	20
292	293	25
294	295	76
296	297	77
298	299	33
300	70	2
301	302	78
303	304	57
305	274	79
198	306	80
307	36	1
308	309	77
121	195	18
310	311	20
312	313	50
314	315	0
316	317	31
318	319	81
320	321	18
322	26	12
323	324	29
325	326	1
327	328	82
329	162	11
225	226	6
330	331	46
332	311	83
333	334	63
335	336	30
337	338	1
339	21	84
340	341	85
342	298	83
343	70	86
344	70	6
345	321	87
346	347	29
348	349	18
350	351	77
352	353	20
354	355	61
356	357	20
358	117	43
359	360	88
361	311	89
362	363	90
364	365	91
366	367	92
368	369	16
370	371	11
86	21	7
151	3	1
372	298	93
305	373	73
374	375	13
32	376	94
110	365	95
377	70	96
378	379	97
380	381	31
382	383	54
384	385	98
386	125	2
387	388	30
389	390	99
391	226	96
392	70	27
130	393	18
394	395	51
396	397	100
86	335	7
398	65	26
399	400	4
401	70	27
24	402	63
235	403	30
261	195	18
404	281	18
250	27	37
405	406	94
407	138	101
408	36	1
196	195	18
136	119	44
223	409	25
410	44	42
411	412	46
413	414	70
415	416	6
183	417	46
174	418	31
419	70	27
420	165	21
421	384	102
422	51	54
423	36	1
424	425	103
207	220	0
426	427	104
428	5	5
308	429	63
430	431	41
432	117	43
433	434	76
435	436	6
437	438	14
439	44	105
440	239	54
441	65	26
442	3	1
443	444	29
445	446	106
447	448	18
449	65	26
450	451	31
452	453	107
454	455	108
456	65	26
457	138	20
458	338	1
459	51	104
460	461	18
462	463	63
53	464	18
465	70	109
466	467	110
468	40	64
129	469	46
31	167	15
470	471	111
472	36	1
473	474	40
291	475	20
476	311	51
477	478	112
73	479	18
395	480	113
