76
167	121	2
960	215	1
700	33	0
8	50	1
483	392	2
185	363	81
881	30	85
243	707	58
119	33	0
1039	109	36
1005	59	26
1031	75	31
94	123	38
769	7	81
651	296	9
936	378	41
39	548	20
89	129	41
460	1	0
471	118	36
752	230	2
613	553	103
350	914	9
770	702	2
551	41	14
940	75	20
220	7	81
804	876	103
505	378	41
1040	139	41
723	18	31
48	75	20
344	139	41
638	30	14
609	221	36
403	75	9
256	33	24
89	271	2
404	316	2
21	83	58
445	221	36
537	296	9
732	75	31
90	18	31
839	7	81
404	129	41
909	109	36
963	747	105
838	297	74
668	636	1
1060	1061	20
182	809	77
557	1	0
977	9	7
969	41	14
583	41	14
367	33	0
538	83	80
1017	50	1
225	378	41
159	192	43
896	118	36
840	75	20
958	50	1
731	139	41
977	412	2
143	233	62
594	50	1
807	50	1
960	636	1
511	1055	43
847	30	64
251	1086	141
632	614	41
565	800	31
481	510	31
