123
1498	238	35
431	550	82
96	1294	33
547	344	18
275	1070	16
115	1397	0
2152	1929	35
616	939	113
227	2011	113
35	1475	106
1205	777	18
2195	2218	95
486	821	93
1485	1486	61
829	2217	0
1268	832	18
1757	1409	0
101	469	18
1705	8	57
388	2244	43
876	1407	35
1163	1583	29
994	1583	57
541	2369	16
1232	825	2
1573	1387	18
115	1671	0
612	859	93
1022	1023	36
111	209	2
1353	1359	57
245	1644	29
714	966	93
1689	1690	80
1553	830	102
662	253	102
388	472	43
1101	146	153
265	1809	43
391	230	2
35	1007	16
2402	1202	0
1648	1118	2
704	850	103
418	419	61
452	1179	0
1144	592	18
2313	2472	18
2292	2136	80
153	926	43
431	2026	82
391	1855	2
259	260	80
1790	1314	155
793	2088	95
1572	2395	35
101	1515	18
1736	738	0
1232	249	2
431	322	82
153	1199	43
1095	1954	61
1931	1305	103
648	803	36
1743	1313	102
1675	2453	61
829	884	0
682	1980	36
1552	813	98
483	1613	57
714	1369	93
4	393	2
1301	1300	29
1765	344	18
833	556	57
275	1325	16
1018	1633	18
151	1172	1
220	602	120
297	1015	43
1768	2408	35
835	1346	35
265	159	43
101	33	18
1440	519	61
292	291	29
238	2024	35
1768	1666	35
1232	852	2
452	1131	0
35	385	16
41	291	18
871	1567	2
2239	378	154
61	469	18
36	162	57
439	456	29
157	2079	35
153	868	43
1571	1327	2
1432	2282	154
1244	2270	90
2397	432	181
1398	642	57
1422	950	106
1553	556	102
115	7	0
536	2232	90
431	577	82
297	1256	43
704	2016	103
1906	666	1
1461	2132	0
330	1211	113
37	103	1
220	1012	120
2397	415	181
528	123	18
238	1173	35
146	1779	35
835	2018	35
651	1615	2
1039	95	95
